Date,r,RV W,RV M,PC1,PC2,year_month
2006-01-08,1.303720322852154,1.0048147403950813,6.928877544112214,-2.7531689497151333,0.6106028633979189,2006-01
2006-01-15,0.167896181230695,0.8160378388609502,6.928877544112214,-2.753168949715133,0.610602863397928,2006-01
2006-01-22,-2.049422116771209,2.0035070250127927,6.928877544112214,-2.7531689497151373,0.610602863397923,2006-01
2006-01-29,1.7468535874418585,1.1132235749697894,6.928877544112214,-2.7531689497151373,0.6106028633979228,2006-01
2006-02-05,-1.5457037332098893,1.1504264854495638,5.433544601022714,-1.963366112015011,1.8470317685529036,2006-02
2006-02-12,0.23389481427051934,1.2234930056266151,5.433544601022714,-1.963366112015011,1.8470317685529039,2006-02
2006-02-19,1.5856382888425642,1.3365062463671096,5.433544601022714,-1.963366112015011,1.8470317685529039,2006-02
2006-02-26,0.169991808543581,0.9093291050017744,5.433544601022714,-1.963366112015011,1.8470317685529039,2006-02
2006-03-05,-0.17076942613007434,1.3965421762359054,5.449841413473489,-2.1475098384771414,1.1158462725457932,2006-03
2006-03-12,-0.4523735328813818,1.1499133755708313,5.449841413473489,-2.1475098384771414,1.1158462725457932,2006-03
2006-03-19,1.9956821762063912,1.1613827011797235,5.449841413473489,-2.1475098384771414,1.1158462725457932,2006-03
2006-03-26,-0.32948071401322826,0.9101652671639126,5.449841413473489,-2.1475098384771414,1.1158462725457932,2006-03
2006-04-02,-0.6220586704767533,1.0930019634966015,7.069914280826922,-2.3724868316755585,0.9131087802900931,2006-04
2006-04-09,0.048642077882447454,1.320439243784635,7.069914280826922,-2.3724868316755585,0.9131087802900931,2006-04
2006-04-16,-0.4936909760988726,0.7958964182506048,7.069914280826922,-2.3724868316755585,0.9131087802900931,2006-04
2006-04-23,1.7043970482124533,1.734603274840732,7.069914280826922,-2.3724868316755585,0.9131087802900931,2006-04
2006-04-30,-0.05111152307347856,0.6995724139934506,7.069914280826922,-2.3724868316755585,0.9131087802900931,2006-04
2006-05-07,1.149322076252945,1.3587886104983853,10.399518106953574,-2.676900476175755,0.8585094056265237,2006-05
2006-05-14,-2.638289784790517,1.724884211048233,10.399518106953574,-2.676900476175755,0.8585094056265237,2006-05
2006-05-21,-1.8927387264411268,1.8988292085068619,10.399518106953574,-2.676900476175755,0.8585094056265237,2006-05
2006-05-28,1.0309494658578418,1.4044335919975572,10.399518106953574,-2.676900476175755,0.8585094056265237,2006-05
2006-06-04,0.6276300988289426,2.1765510868266817,18.128810001669663,-1.9639027523750097,1.9853358095746845,2006-06
2006-06-11,-2.8279498228903113,1.9578839218145483,18.128810001669663,-1.9639027523750097,1.9853358095746845,2006-06
2006-06-18,-0.06070753421050795,2.737250985216755,18.128810001669663,-1.9639027523750097,1.9853358095746845,2006-06
2006-06-25,-0.5640981410991324,1.43721360998748,18.128810001669663,-1.9639027523750097,1.9853358095746845,2006-06
2006-07-02,2.044048711993827,2.4422207514970453,20.35902976106189,-2.3996594190445446,1.6709058667130385,2006-07
2006-07-09,-0.3722848531186074,1.2898828201647414,20.35902976106189,-2.3996594190445446,1.6709058667130385,2006-07
2006-07-16,-2.3409362669790887,1.8222818793615154,20.35902976106189,-2.3996594190445446,1.6709058667130385,2006-07
2006-07-23,0.33031359913148384,2.159922883381075,20.35902976106189,-2.3996594190445446,1.6709058667130385,2006-07
2006-07-30,3.038140676891629,2.178258883204749,20.35902976106189,-2.3996594190445446,1.6709058667130385,2006-07
2006-08-06,0.06332799353247182,0.734477957538072,4.313299792141416,-2.6004504115638123,1.564026646771571,2006-08
2006-08-13,-0.9913278024047463,0.8690556381444549,4.313299792141416,-2.6004504115638123,1.564026646771571,2006-08
2006-08-20,2.768530606930143,1.61527082292391,4.313299792141416,-2.6004504115638123,1.564026646771571,2006-08
2006-08-27,-0.5551805070907762,0.6399096721039359,4.313299792141416,-2.6004504115638123,1.564026646771571,2006-08
2006-09-03,1.2217675552095804,0.7910880190431236,4.0786933805203756,-2.1532567475138067,1.429344697392826,2006-09
2006-09-10,-0.9264656177556945,1.1796562866038116,4.0786933805203756,-2.1532567475138067,1.429344697392826,2006-09
2006-09-17,1.584096977383275,1.1387740899267447,4.0786933805203756,-2.1532567475138067,1.429344697392826,2006-09
2006-09-24,-0.3704780026794424,0.8743441795050865,4.0786933805203756,-2.1532567475138067,1.429344697392826,2006-09
2006-10-01,1.5898401549991201,1.1887594909410018,5.890156505499828,-2.2389032887276734,1.365150579889501,2006-10
2006-10-08,1.0233042207404752,1.310907392792026,5.890156505499828,-2.2389032887276734,1.365150579889501,2006-10
2006-10-15,1.180771709901001,1.0283005786833836,5.890156505499828,-2.2389032887276734,1.365150579889501,2006-10
2006-10-22,0.21797673051909705,0.48551581461729,5.890156505499828,-2.2389032887276734,1.365150579889501,2006-10
2006-10-29,0.636577633535329,1.2105376901842664,5.890156505499828,-2.2389032887276734,1.365150579889501,2006-10
2006-11-05,-0.9512565656335819,0.7726548878788841,3.0878739856163646,-2.9229494417211086,0.6908789978408015,2006-11
2006-11-12,1.2093965812423018,1.2984442537083558,3.0878739856163646,-2.9229494417211086,0.6908789978408015,2006-11
2006-11-19,1.4593499304843596,0.7659001404567498,3.0878739856163646,-2.9229494417211086,0.6908789978408015,2006-11
2006-11-26,-0.017843442312212576,0.4672450157180012,3.0878739856163646,-2.9229494417211086,0.6908789978408015,2006-11
2006-12-03,-0.3031100000603039,1.7044398592834047,6.387421551953139,-2.623480418329424,1.0756070567326816,2006-12
2006-12-10,0.9356755460206481,1.0725809057579556,6.387421551953139,-2.623480418329424,1.0756070567326816,2006-12
