"","GARCH","EGARCH","GJR-GARCH","RV"
"2021-06-06",1.51005100136049,1.53706902799703,1.47056896639341,0.981772402218364
"2021-06-13",1.42665203347397,1.42017089084526,1.39597301312784,0.73591945327844
"2021-06-20",1.34570470125978,1.31675446497614,1.33964362207866,1.20563827333531
"2021-06-27",1.63947640142205,1.96339657986882,1.9231561632156,1.27622926199287
"2021-07-04",2.07782229570404,1.87188063023808,1.80769054671126,0.974385424675643
"2021-07-11",2.01808832027178,1.73749742309639,1.66811570681639,1.21095580881714
"2021-07-18",1.77877517513872,1.56089747589238,1.53324964981255,0.983547236004313
"2021-07-25",1.67058693424051,1.72452568172023,1.60465701286935,1.60020128203653
"2021-08-01",1.82926170913385,1.64326105294593,1.53709958685255,0.930636056109625
"2021-08-08",1.63703535682249,1.58174954248392,1.46373808572907,1.0685307576964
"2021-08-15",1.56390583345861,1.47355656453063,1.39814287291235,0.693981746299473
"2021-08-22",1.47709612391598,1.37614382401891,1.34634511703273,1.2461790357751
"2021-08-29",1.40026588085753,1.44954202827541,1.37299822550967,1.17439056954337
"2021-09-05",1.53997812492651,1.40618591851662,1.35627331105215,0.731015903451695
"2021-09-12",1.44246837024014,1.31494496272216,1.31330596648963,0.986535276533327
"2021-09-19",1.6221029749544,1.85792301536999,1.79761416538228,1.18286941560724
"2021-09-26",1.50096045439349,1.80412420697758,1.67799479709659,1.51818055535124
"2021-10-03",1.40640222441221,1.61711829976128,1.54018644330092,1.63096930958942
"2021-10-10",1.7760465726014,2.27768224063108,2.18362839745018,1.38615568111646
"2021-10-17",1.63799161349871,1.98562630956918,1.91941516240613,1.41767261683935
"2021-10-24",1.76745791915194,1.82969980267833,1.75385048573069,0.971523949791655
"2021-10-31",1.8016349278281,1.70300058649283,1.6268777453833,1.10826179914322
"2021-11-07",1.75129934624553,1.58878244134406,1.52435739837899,0.972668669604115
"2021-11-14",1.88856246129624,1.54228996067466,1.4821211926424,1.07468949473094
"2021-11-21",1.67726878480641,1.48308388612792,1.41563548781435,0.769411870646869
"2021-11-28",1.52064068175864,1.36063286082596,1.35134349288482,1.52906877195249
"2021-12-05",1.83006062272782,2.12645959780453,2.08762825995035,1.75578444475713
"2021-12-12",1.75197041372799,2.21348907048672,2.0497777936093,1.6311108072529
"2021-12-19",2.54070119007514,2.11226637720206,1.96068656682372,1.55686427899022
"2021-12-26",2.40732945435541,2.47004363112139,2.26345056145873,1.55374048434028
"2022-01-02",2.38892233441184,2.20792231121746,2.02503188988606,1.20058315377587
"2022-01-09",2.10261348988542,1.94013494928511,1.80326827257599,1.44968997535824
"2022-01-16",2.0894027199415,2.32934607733921,2.13971917221061,1.31565762045061
"2022-01-23",1.83045313543082,2.07154221491929,1.89614871627016,1.74493736646193
"2022-01-30",3.49658621240771,4.51654357548376,4.64078478874519,1.664563963992
"2022-02-06",2.96294999235978,3.5495830565359,3.84898518704877,1.82979740025401
"2022-02-13",2.6412467338044,2.9364852043076,3.23648540764218,1.77493012784419
"2022-02-20",2.45786965206505,2.97739436298593,3.04977854806832,1.66580725617449
"2022-02-27",2.27544445801936,2.92513945129138,2.83928556983637,1.84520676913761
"2022-03-06",2.01986916104779,2.46292293484665,2.42971059654144,1.61575534755656
"2022-03-13",1.89888270283331,2.46835431696952,2.30218193313239,2.05488324452593
"2022-03-20",2.27784654020288,3.06517594058675,2.92732995266101,1.89121591592825
"2022-03-27",3.72854563810007,2.82999572849879,2.74636385178848,1.5008530333418
"2022-04-03",3.25997138000084,2.44071579732666,2.37203034071288,1.49492575190491
"2022-04-10",2.75096855699703,2.07486640116188,2.0595635500144,1.36276157127331
"2022-04-17",2.44094614061821,2.19827320396699,2.05053567588645,1.54799915474477
"2022-04-24",2.38943421533121,2.60265388294281,2.41042199093124,1.88647950576367
"2022-05-01",2.53216351810315,3.10146803522532,2.92841210224768,2.30347236309783
"2022-05-08",2.79367697009638,3.61053918286691,3.49547031271296,2.18306883200757
"2022-05-15",2.38405767127974,2.96013500702647,2.94367542539933,2.08779267709319
"2022-05-22",2.42681780806175,3.19644246377861,3.07913638271667,2.1530432991733
"2022-05-29",2.65069592984359,3.57690849119616,3.45767856248627,1.96072299523582
"2022-06-05",4.07388076986689,3.19084394135601,3.13884931589356,1.62729928464866
"2022-06-12",3.46050868633275,2.95105758789358,2.79914466880559,2.02162861627515
"2022-06-19",4.00820764456246,4.3242225560381,4.52287738516045,2.3175605087272
"2022-06-26",4.62146253937551,5.3295729433493,5.81290143856115,1.99461468156072
"2022-07-03",5.09333941071009,4.34857903662117,4.9365337057499,1.57224905945339
"2022-07-10",4.38859797030892,4.03315470626347,4.40912912303121,1.24016932898461
"2022-07-17",3.79465713333706,3.28001192926001,3.68322745006348,1.5724530576172
"2022-07-24",3.2118791653174,2.92842055465218,3.16064644923253,1.792364460614
"2022-07-31",3.01930690991827,2.54039274111619,2.71140821754515,1.84058334904757
"2022-08-07",3.38729249876252,2.36174406285149,2.45630947765647,1.31246295200318
"2022-08-14",2.85596461104241,2.02678133419559,2.12084196775386,1.65978122276948
"2022-08-21",2.96508181597569,1.93683857468542,1.96919742980487,1.25198555378215
"2022-08-28",2.5946850555332,2.07981997761161,1.96886249330807,2.07437382573019
"2022-09-04",3.12030860269322,3.43396774768753,3.50277069432269,1.37242236192969
"2022-09-11",3.18021854719208,3.82279488726863,3.8398675449962,1.57814694291193
"2022-09-18",3.29195060862218,3.22593367906923,3.2918516134399,2.1797183773924
"2022-09-25",3.80442381472341,4.31991194490498,4.5499557136336,1.70600110823489
"2022-10-02",4.07430515904089,4.86647581479541,5.16458646157144,1.85280798489038
"2022-10-09",3.75010129299484,4.59187324870637,4.80394087474128,2.23100664481796
"2022-10-16",3.24205711625012,3.65103967750378,4.00698213607423,1.91354940154438
"2022-10-23",2.85860143915078,3.37368176936898,3.5459922494024,1.9582463947305
"2022-10-30",3.45997397574325,2.97317694400839,3.11615929609387,1.81447933507799
"2022-11-06",3.5674552863126,2.65614561872886,2.74936276203505,1.78279905058475
"2022-11-13",3.50194976336455,3.38185371043616,3.43097982734942,2.44249538973129
"2022-11-20",4.24346384319105,3.04242798004567,3.09923873739099,1.26565459583594
"2022-11-27",3.56337809939973,2.7028615227276,2.67980645432265,1.23408463908859
"2022-12-04",3.10342230632998,2.34048151396947,2.3221841699925,1.8518046775185
"2022-12-11",2.69300704756449,2.05518512308433,2.03749795163754,1.5969860143634
"2022-12-18",2.93605571413007,3.06910419020342,3.09596643337065,1.80139281529372
"2022-12-25",2.73357662722384,3.16231458222948,3.05290920178572,1.52924889105934
"2023-01-01",2.33580043817003,2.65520397224547,2.6093608748681,1.47149237660676
