,alpha,beta,gamma,omega,se_alpha,se_beta,se_gamma,se_omega,t_alpha,t_beta,t_gamma,t_omega,AIC,BIC
"GARCH(1, 1)",0.28107724844358417,0.6653305787138267,0.0,0.3764695150314486,0.07213883410396191,0.06556053814987606,0.0,0.12666877985190947,3.896337554312473,10.148339191372006,0.0,2.972078166945203,3006.600470385206,3024.8840022345644
EGARCH,0.3505035278230455,0.8819002276080915,-0.23157420617573768,0.16376424756832675,0.08510490096701415,0.03885320476450038,0.05066538304459558,0.05855857581723328,4.118488169781166,22.698262162761697,-4.57065933897917,2.796588634249748,2972.437118980448,2995.291533792146
GJR-GARCH,0.028931679173183504,0.6911038930709358,0.40446235851885515,0.4058980152116832,0.03879337007476842,0.07273013771622809,0.11313655342974444,0.1296700793469246,0.7457892706259347,9.502304199772352,3.5749927521878972,3.1302364990903353,2974.89702629174,2997.751441103438
"R-GARCH(1, 1)",0.359759433337651,0.243979442166173,0.0,0.698844622496362,0.107687914942594,0.0425341020201806,0.046632964436613,0.0,3.34075957854167,5.7360901154188,14.9860647063578,0.0,4.23882677725978,4.25803216785785
R-EGARCH,0.190254522264596,-0.253769997363563,0.337690091563188,0.874724507876539,0.037350528160278,0.0348106231998904,0.0249248673708718,0.0558705761948891,5.09375721403937,-7.29001592147199,35.0944498464524,6.04414907741866,4.16907872617025,4.19468591363434
R-GJR-GARCH,0.430614611821947,0.0154579027918575,0.450148380552598,0.698310035114505,0.0901072770931605,0.0306794081913459,0.0452378495573684,0.0835106157426438,4.77891049106656,0.503852704571332,15.4364109246383,5.39031327394146,4.17377373423468,4.19938092169877
