"","alpha","beta","gamma","omega","se_alpha","se_beta","se_gamma","se_omega","t_alpha","t_beta","t_gamma","t_omega","AIC","BIC"
"GARCH",0.359759433337651,0.243979442166173,0.698844622496362,0,0.107687914942594,0.0425341020201806,0.046632964436613,0,3.34075957854167,5.7360901154188,14.9860647063578,0,4.23882677725978,4.25803216785785
"EGARCH",0.190254522264596,-0.253769997363563,0.874724507876539,0.337690091563188,0.037350528160278,0.0348106231998904,0.0249248673708718,0.0558705761948891,5.09375721403937,-7.29001592147199,35.0944498464524,6.04414907741866,4.16907872617025,4.19468591363434
"GJR",0.430614611821947,0.0154579027918575,0.698310035114505,0.450148380552598,0.0901072770931605,0.0306794081913459,0.0452378495573684,0.0835106157426438,4.77891049106656,0.503852704571332,15.4364109246383,5.39031327394146,4.17377373423468,4.19938092169877
