Period;Value;Simple Growth Rate %;Y-o-Y Change %;Annual % Rate;Type
31.7.1949;6.7;NM;NM;NM;Actual
30.6.1949;6.2;NM;NM;NM;Actual
31.5.1949;6.1;NM;NM;NM;Actual
30.4.1949;5.3;NM;NM;NM;Actual
31.3.1949;5;NM;NM;NM;Actual
28.2.1949;4.7;NM;NM;NM;Actual
31.1.1949;4.3;NM;NM;NM;Actual
31.12.1948;4;NM;NM;NM;Actual
30.11.1948;3.8;NM;NM;NM;Actual
31.10.1948;3.7;NM;NM;NM;Actual
30.9.1948;3.8;NM;NM;NM;Actual
31.8.1948;3.9;NM;NM;NM;Actual
31.7.1948;3.6;NM;NM;NM;Actual
30.6.1948;3.6;NM;NM;NM;Actual
31.5.1948;3.5;NM;NM;NM;Actual
30.4.1948;3.9;NM;NM;NM;Actual
31.3.1948;4;NM;NM;NM;Actual
29.2.1948;3.8;NM;NM;NM;Actual
31.1.1948;3.4;NM;NM;NM;Actual
;;;;;
Economic Time Series Data Provided By:;;;;;
