"","GARCH","EGARCH","GJR","RV"
"2006-01-08",2.40133052751042,2.40133052751042,2.40133052751042,1.00481474039508
"2006-01-15",2.191861651145,2.11587394654154,2.11745484513878,0.81603783886095
"2006-01-22",1.92978406003875,1.85765686323954,1.88732713632601,2.00350702501279
"2006-01-29",1.996759603716,2.28964638873338,2.20762427615319,1.11322357496979
"2006-02-05",1.97245780038865,2.04836258437001,1.97004355355564,1.15042648544956
"2006-02-12",1.91352890393867,2.24966372123692,2.06233663732766,1.22349300562662
"2006-02-19",1.71230582792224,1.96203211964466,1.84432511627495,1.33650624636711
"2006-02-26",1.73844492751365,1.79295725278775,1.68665519426363,0.909329105001774
"2006-03-05",1.57443689130511,1.60818929127589,1.55486903029918,1.39654217623591
"2006-03-12",1.44886385415438,1.50290603607406,1.46028744289665,1.14991337557083
"2006-03-19",1.36992955306568,1.50048171220163,1.4195072980759,1.16138270117972
"2006-03-26",1.62572891065016,1.44942592093212,1.37814183986978,0.910165267163913
"2006-04-02",1.49441885991866,1.42233879243125,1.34441155476711,1.0930019634966
"2006-04-09",1.41946824677314,1.48871505570059,1.36855376339455,1.32043924378464
"2006-04-16",1.32982397900682,1.36321240772547,1.31853842056517,0.795896418250605
"2006-04-23",1.28650060136597,1.40289217514327,1.32594857115743,1.73460327484073
"2006-04-30",1.49169656220596,1.36003720142217,1.30508462560127,0.699572413993451
"2006-05-07",1.38399311689551,1.27189836331232,1.27327320173243,1.35878861049839
"2006-05-14",1.42149032692772,1.23208164082851,1.25823329819118,1.72488421104823
"2006-05-21",1.86282201967547,2.1732476270629,2.18564209883034,1.89882920850686
"2006-05-28",1.91281751081268,2.4521090344305,2.3311969883448,1.40443359199756
"2006-06-04",1.78214950172823,2.14391296753131,2.05961055748629,2.17655108682668
"2006-06-11",1.63567660346563,1.89607445000171,1.84361924270163,1.95788392181455
"2006-06-18",2.04466420229019,2.61462038756913,2.55493954878814,2.73725098521675
"2006-06-25",1.81170763521241,2.2433921761134,2.2339875149599,1.43721360998748
"2006-07-02",1.65263493873359,2.09915988129453,2.01589426817902,2.44222075149705
"2006-07-09",1.81323592293941,1.91536385447243,1.82565409633382,1.28988282016474
"2006-07-16",1.6405037308971,1.79746777715608,1.68006610783156,1.82228187936152
"2006-07-23",1.89143592643798,2.35955510356943,2.22557729639318,2.15992288338107
"2006-07-30",1.6989752274485,2.04870898471482,1.97260398090315,2.17825888320475
"2006-08-06",2.15150861925686,1.91552978000101,1.81398353469114,0.734477957538072
"2006-08-13",1.8962284155511,1.69954658773445,1.65181448682449,0.869055638144455
"2006-08-20",1.76418500193061,1.81634249558356,1.67138055741731,1.61527082292391
"2006-08-27",2.09877390147632,1.72706366096492,1.58108630125367,0.639909672103936
"2006-09-03",1.87437113434467,1.70479154644463,1.52308416889638,0.791088019043124
"2006-09-10",1.78302532090113,1.57947941464032,1.44000634861377,1.17965628660381
"2006-09-17",1.6706072985525,1.70523928690571,1.50940083690238,1.13877408992674
"2006-09-24",1.70950812258904,1.59397802178548,1.43539454285951,0.874344179505086
"2006-10-01",1.5606289419362,1.54800696925206,1.39042771380898,1.188759490941
"2006-10-08",1.63661838635912,1.47068641155318,1.34897040261274,1.31090739279203
"2006-10-15",1.57705801966581,1.38681679107305,1.31054603753572,1.02830057868338
"2006-10-22",1.56141786297612,1.32601585580384,1.28512078497162,0.48551581461729
"2006-10-29",1.44053914110845,1.23878957188223,1.2588220056321,1.21053769018427
"2006-11-05",1.38160667842767,1.18445097915094,1.24235407592384,0.772654887878884
"2006-11-12",1.38365972776595,1.41338565016255,1.38915039874743,1.29844425370836
"2006-11-19",1.43337417642589,1.34845121317227,1.34193142542398,0.76590014045675
"2006-11-26",1.52157230174478,1.3064637385283,1.31188339885967,0.467245015718001
"2006-12-03",1.40633914567751,1.21930659398256,1.27772493054837,1.7044398592834
"2006-12-10",1.32828572589118,1.23043402975522,1.27021265786364,1.07258090575796
"2006-12-17",1.34400977720596,1.1897052975258,1.25332729625078,0.914971465720387
"2006-12-24",1.40817537521696,1.16794359507382,1.24515133749851,0.768692878001113
"2006-12-31",1.43829628238909,1.47346138996293,1.45944639450219,0.950691850638472
"2007-01-07",1.36922597535347,1.3697712126198,1.38650488346394,0.633987592456166
"2007-01-14",1.32664314865109,1.4430994185508,1.39458924063947,0.850433550211922
"2007-01-21",1.45745818188798,1.38304379051622,1.35003923177507,0.432194122281355
"2007-01-28",1.35804907700179,1.28082874427894,1.30517391398678,1.5559119361877
"2007-02-04",1.31592193518333,1.36559347774744,1.33363912395005,1.04349269534021
"2007-02-11",1.54387724261304,1.33519176053122,1.31307824001489,0.742977762559925
"2007-02-18",1.46645436658852,1.45034540924915,1.36863345742711,1.13040840919324
"2007-02-25",1.48955133312449,1.37793628178479,1.32711108594598,0.485011815607496
"2007-03-04",1.39003156358064,1.35672199859004,1.30468677107565,3.76789126855588
"2007-03-11",2.5839150316109,3.3558991691893,3.33127306442225,1.95629425988582
"2007-03-18",2.30944387877896,2.81088580925941,2.86348239120822,2.24354381362432
"2007-03-25",2.09849506210652,2.67590158018843,2.60012459066329,2.11053858959317
"2007-04-01",2.52926948530447,2.40128811787294,2.31066612876297,1.08947854551954
